city,city_url,city_id,max_lat,max_lng,min_lat,min_lng
珠海,https://zh.lianjia.com/,440400,22.25691464612574,113.56244702618993,21.95691464612574,113.26244702618993
长沙,https://cs.lianjia.com/,430100,28.21347823085322,112.9793527876505,27.91347823085322,112.6793527876505
深圳,https://sz.lianjia.com/,440300,22.546053546205247,114.0259736573215,22.246053546205246,113.7259736573215
重庆,https://cq.lianjia.com/,500000,29.54460610888615,106.53063501341296,29.24460610888615,106.23063501341296
苏州,https://su.lianjia.com/,320500,31.317987367952437,120.61990711548988,31.017987367952436,120.31990711548988
西安,https://xa.lianjia.com/,610100,34.277799897830626,108.95309827919623,33.97779989783063,108.65309827919623
廊坊,https://lf.lianjia.com/,131000,39.51861062508462,116.70360222263986,39.21861062508462,116.40360222263986
北京,https://bj.lianjia.com/,110000,39.92998577808024,116.39564503787867,39.62998577808024,116.09564503787867
济南,https://jn.lianjia.com/,370100,36.68278472716141,117.02496706629023,36.382784727161415,116.72496706629023
郑州,https://zz.lianjia.com/,410100,34.756610064140254,113.64964384986449,34.45661006414026,113.34964384986449
天津,https://tj.lianjia.com/,120000,39.143929903310074,117.21081309155257,38.84392990331008,116.91081309155257
厦门,https://xm.lianjia.com/,350200,24.489230612469232,118.10388604566381,24.18923061246923,117.80388604566382
成都,https://cd.lianjia.com/,510100,30.679942845419564,104.06792346330406,30.379942845419563,103.76792346330406
沈阳,https://sy.lianjia.com/,210100,41.808644783515746,123.43279092160505,41.50864478351575,123.13279092160505
大连,https://dl.lianjia.com/,210200,38.94870993830429,121.59347778143518,38.64870993830429,121.29347778143519
上海,https://sh.lianjia.com/,310000,31.24916171001514,121.48789948569473,30.94916171001514,121.18789948569473
石家庄,https://sjz.lianjia.com/,130100,38.048958314615454,114.52208184420766,37.74895831461546,114.22208184420766
南京,https://nj.lianjia.com/,320100,32.05723550180587,118.77807440802562,31.75723550180587,118.47807440802562
青岛,https://qd.lianjia.com/,370200,36.10521490127382,120.38442818368189,35.80521490127382,120.0844281836819
广州,https://gz.lianjia.com/,440100,23.12004910207623,113.30764967515182,22.82004910207623,113.00764967515182
佛山,https://fs.lianjia.com/,440600,23.035094840514382,113.1340256353934,22.735094840514382,112.8340256353934
武汉,https://wh.lianjia.com/,420100,30.58108412692075,114.31620010268132,30.28108412692075,114.01620010268132
海口,https://hk.lianjia.com/,460100,20.022071276952243,110.3308018483363,19.722071276952242,110.03080184833631
烟台,https://yt.lianjia.com/,370600,37.53656156285964,121.30955503008511,37.23656156285964,121.00955503008511
中山,https://zs.lianjia.com/,442000,22.545177514512996,113.42206002079804,22.245177514512996,113.12206002079805
无锡,https://wx.lianjia.com/,320200,31.57003745192303,120.30545590053595,31.27003745192303,120.00545590053595
惠州,https://hui.lianjia.com/,441300,23.11353985240842,114.41065807997101,22.813539852408418,114.11065807997102
东莞,https://dg.lianjia.com/,441900,23.043023815368237,113.76343399075655,22.743023815368236,113.46343399075656
杭州,https://hz.lianjia.com/,330100,30.259244461536102,120.2193754157201,29.9592444615361,119.9193754157201
合肥,https://hf.lianjia.com/,340100,31.86694226068694,117.28269909168304,31.56694226068694,116.98269909168305
